Date Time,Ghost Number,Number of Mazes,Time Taken,Survived,Hanged,Died,Comments
"Execution Started 


======  Start Time  =========->  10/13/22 22:05:05",,,,,,,
10/13/22 22:05,1,100,39.67962599,99,0,1,
10/13/22 22:06,6,100,37.36584377,85,0,15,
10/13/22 22:07,11,100,37.4122839,83,0,17,
10/13/22 22:07,16,100,38.15996814,68,0,32,
10/13/22 22:08,21,100,35.4530921,61,0,39,
10/13/22 22:08,26,100,33.13041902,43,0,57,
10/13/22 22:09,31,100,32.10136509,42,0,58,
10/13/22 22:09,36,100,34.79636192,52,0,48,
10/13/22 22:10,41,100,35.55892777,45,0,55,
10/13/22 22:11,46,100,35.01472569,27,0,73,
10/13/22 22:14,51,100,192.2944021,29,0,71,
10/13/22 22:15,56,100,76.82632995,25,0,75,
10/13/22 22:16,61,100,31.27866483,21,0,79,
10/13/22 22:16,66,100,34.74621606,22,0,78,
10/13/22 22:17,71,100,38.01429892,18,0,82,
10/13/22 22:17,76,100,34.08568621,18,0,82,
10/13/22 22:18,81,100,32.83900905,11,0,89,
10/13/22 22:18,86,100,33.80855203,11,0,89,
10/13/22 22:19,91,100,28.79991698,9,0,91,
10/13/22 22:19,96,100,30.81985378,10,0,90,
10/13/22 22:20,101,100,30.46945715,7,0,93,
10/13/22 22:20,106,100,30.5389812,6,0,94,
10/13/22 22:21,111,100,39.6091547,5,0,95,
10/13/22 22:22,116,100,26.45280194,1,0,99,
10/13/22 22:22,121,100,33.02022481,2,0,98,
10/13/22 22:23,126,100,28.52724695,4,0,96,
10/13/22 22:23,131,100,29.67272902,3,0,97,
10/13/22 22:24,136,100,31.78695893,4,0,96,
10/13/22 22:24,141,100,29.86818218,1,0,99,
10/13/22 22:25,146,100,24.54509211,0,0,100,
10/13/22 22:25,151,100,24.14753819,2,0,98,
10/13/22 22:25,156,100,28.89560986,2,0,98,
10/13/22 22:26,161,100,29.6455698,0,0,100,
10/13/22 22:26,166,100,25.30221224,1,0,99,
10/13/22 22:27,171,100,26.50286603,0,0,100,
10/13/22 22:27,176,100,27.99566102,0,0,100,
10/13/22 22:28,181,100,29.14996505,0,0,100,
10/13/22 22:28,186,100,29.01140213,0,0,100,
10/13/22 22:29,191,100,26.27975488,0,0,100,
10/13/22 22:29,196,100,26.11026669,0,0,100,
10/13/22 22:30,201,100,24.74392414,1,0,99,